Date ,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,    12,    13,    14,    15,    16,    17,    18,    19,    20,    21,    22,    23
1980-10-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.947E-04, 1.925E-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.817E-03, 1.901E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.881E-02, 3.971E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.766E-05, 0.000E+00, 0.000E+00, 3.533E-05, 3.088E-02, 6.441E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.859E-04, 0.000E+00, 0.000E+00, 1.372E-03, 4.367E-02, 9.034E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.789E-04, 0.000E+00, 0.000E+00, 1.553E-03, 0.000E+00, 0.000E+00, 3.106E-03, 5.606E-02, 1.153E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-12, 5.600E-03, 4.072E-03, 1.715E-02, 1.115E-02, 2.996E-04, 9.251E-03, 1.151E-03, 1.370E-02, 1.227E-02, 2.063E-02, 2.999E-03, 7.671E-02, 8.402E-02, 2.082E-02, 1.428E-04, 2.641E-04, 2.780E-03, 8.872E-04, 3.741E-04, 2.023E-03, 1.288E-03, 2.303E-03, 1.288E-03
1980-10-13, 1.704E-03, 9.087E-04, 6.333E-03, 4.414E-03, 2.295E-04, 1.006E-02, 9.103E-04, 6.718E-03, 1.179E-02, 1.300E-02, 2.196E-03, 5.468E-02, 8.907E-02, 2.095E-02, 1.036E-04, 2.067E-04, 2.188E-03, 6.607E-04, 3.338E-04, 1.600E-03, 9.436E-04, 1.509E-03, 9.268E-04
1980-10-14, 1.911E-03, 1.084E-03, 7.674E-03, 6.593E-03, 2.418E-04, 1.368E-02, 8.790E-04, 6.439E-03, 1.503E-02, 1.622E-02, 2.561E-03, 8.008E-02, 9.581E-02, 2.225E-02, 1.232E-04, 2.743E-04, 2.049E-03, 7.389E-04, 3.312E-04, 1.526E-03, 1.098E-03, 2.305E-03, 1.047E-03
1980-10-15, 1.662E-03, 9.549E-04, 6.707E-03, 7.073E-03, 2.097E-04, 1.615E-02, 7.683E-04, 6.371E-03, 1.824E-02, 1.994E-02, 2.205E-03, 1.024E-01, 9.986E-02, 2.266E-02, 1.037E-04, 2.049E-04, 1.819E-03, 6.358E-04, 2.915E-04, 1.346E-03, 9.341E-04, 1.813E-03, 8.824E-04
